N,k,function_name,function_ref,greatest_product_palindrome,runtime_time,timeit_object
10000,406,largest_product_palindrome_N_A1,A1,9999,0.057013500000176,"58.4 ms ± 965 µs per loop (mean ± std. dev. of 3 runs, 10 loops each)"
10000,406,largest_product_palindrome_N_A1,A1,9999,0.05891558000003,"58.4 ms ± 965 µs per loop (mean ± std. dev. of 3 runs, 10 loops each)"
10000,406,largest_product_palindrome_N_A1,A1,9999,0.059178999999131,"58.4 ms ± 965 µs per loop (mean ± std. dev. of 3 runs, 10 loops each)"
10000,406,largest_product_palindrome_N_A2,A2,9999,0.012584325000062,"13.2 ms ± 580 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A2,A2,9999,0.013989241999952,"13.2 ms ± 580 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A2,A2,9999,0.01309735399991,"13.2 ms ± 580 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A3,A3,9999,0.007275361000065,"7.34 ms ± 89.2 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A3,A3,9999,0.007462074000068,"7.34 ms ± 89.2 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A3,A3,9999,0.007270619000046,"7.34 ms ± 89.2 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A4,A4,9999,0.002548038999957,"3.03 ms ± 347 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A4,A4,9999,0.003195987999934,"3.03 ms ± 347 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A4,A4,9999,0.003347665000038,"3.03 ms ± 347 µs per loop (mean ± std. dev. of 3 runs, 100 loops each)"
10000,406,largest_product_palindrome_N_A5,A5,9999,0.001104808799995,"901 µs ± 169 µs per loop (mean ± std. dev. of 3 runs, 1,000 loops each)"
